X1	Y1	P1	X2	Y2	P2
252.94	250.26	246.58	244.26	242.93	242.28
242.81	243.80	245.59	250.08	256.08	261.09
267.74	272.70	279.80	290.51	298.78	307.80
317.03	325.31	333.68	343.52	353.01	363.14
371.93	380.62	390.52	399.62	410.33	422.14
435.14	447.67	458.49	469.21	478.62	488.61
496.90	505.92	513.77	520.17	527.60	533.80
539.13	545.46	551.33	556.36	559.81	564.70
567.46	567.49	564.85	561.12	558.31	555.30
552.31	549.52	546.13	544.41	540.59	534.71
527.51	520.23	511.20	498.97	487.03	474.66
463.42	451.16	441.44	427.80	415.94	403.19
392.53	380.86	367.50	356.05	344.86	331.66
322.22	311.25	299.91	290.89	282.33	275.01
268.39	263.29	256.78	251.01	245.67	239.99
235.49	230.73	226.37	221.42	217.21	211.88
209.45	203.15	198.49	193.99	189.97	186.02
182.50	178.48	174.68	171.68	168.79	166.48
163.81	162.08	160.27	158.39	156.71	155.04
153.40	151.77	150.13	148.49	147.35	145.81
142.25	139.61	137.35	136.81	136.28	134.00
134.34	134.68	134.15	133.62	134.34	134.64
133.13	130.89	130.96	130.24	129.91	129.58
129.26	128.93	128.61	127.47	125.62	123.62
121.63	119.63	118.37	118.06	117.74	117.43
117.12	116.80	116.49	117.33	118.05	118.89
119.82	120.42	121.03	121.53	122.06	122.64
123.19	123.58	124.14	124.40	125.05	125.43
125.46	125.46	126.14	126.52	126.64	126.86
127.61	127.89	128.68	129.08	129.68	129.97
130.67	131.03	131.56	131.90	132.47	132.44
131.63	131.15	130.80	130.16	129.61	129.07
128.80	128.66	128.37	128.12	127.86	127.69
127.63	127.43	127.21	125.74	124.77	124.16
122.66	121.68	120.79	119.86	119.16	118.51
118.09	117.64	117.51	117.37	117.42	117.47
117.66	118.09	118.44	118.86	119.48	121.84
124.47	126.92	129.23	131.21	133.15	134.95
137.00	138.86	140.18	141.21	142.68	144.73
146.86	148.60	150.35	152.44	154.33	155.62
156.08	156.54	156.95	157.65	158.65	160.70
165.05	169.45	173.27	177.11	179.50	182.95
186.40	189.85	193.29	198.75	203.97	207.99
211.34	215.18	218.71	222.18	225.36	228.46
231.24	233.53	235.60	237.64	240.21	242.11
243.60	245.41	247.16	252.43	259.11	265.77
271.71	277.38	283.26	290.43	297.73	304.53
312.59	318.29	324.68	330.92	339.47	347.61
356.48	365.36	372.76	380.63	389.50	397.67
406.00	413.37	420.10	426.54	432.80	438.74
444.38	449.94	455.63	461.57	468.30	474.71
480.22	486.50	492.43	497.34	504.44	510.24
